title,author(s),retail_price,discounted/sale_price,isbn10,book_type,number_of_pages,input_isbn
Tom Clancy's Enemy Contact,Mike Maden,14.99,14.99,140594238X,ePUB,400.0,9781405942386
Percy Jackson and the Last Olympian,Rick Riordan,12.99,12.99,0141962305,ePUB,368.0,9780141962306
"Finding Ultra, Revised and Updated Edition",Rich Roll,25.7,20.99,0307952215,ePUB,,9780307952219
Fever,Maya Banks,10.27,9.99,1101620382,ePUB,1.0,9781101620380
"Goodbye, Things",Fumio Sasaki,15.99,15.99,0141986395,ePUB,288.0,9780141986395
The 7th Victim,Mary Burton,15.99,15.99,1405909730,ePUB,432.0,9781405909730
Becoming,Michelle Obama,16.99,16.99,0241334152,ePUB,400.0,9780241334157
The Whole30's Food Freedom Forever,Melissa Hartwig Urban,12.99,12.99,0544838300,ePUB,,9780544838307
Psychopath Free (Expanded Edition),Jackson MacKenzie,25.7,20.99,0698190211,ePUB,,9780698190214
The Wise Man's Fear,Patrick Rothfuss,12.99,12.99,0575088079,ePUB,1008.0,9780575088078
A Stranger in Honeyfield,Anna Jacobs,14.38,12.99,0749020202,ePUB,300.0,9780749020200
The Minor Adjustment Beauty Salon,Alexander McCall Smith,11.99,11.99,1405520590,ePUB,256.0,9781405520591
Brothers in Blood (Eagles of the Empire 13),Simon Scarrow,11.99,11.99,0755393953,ePUB,448.0,9780755393954
Do No Harm,Henry Marsh,11.99,11.99,0297869884,ePUB,320.0,9780297869887
Breaking Dawn,Stephenie Meyer,11.99,11.99,0748112553,ePUB,768.0,9780748112555
Through a Glass Darkly,Donna Leon,15.99,15.99,1407070606,ePUB,352.0,9781407070605
Real Baby Food,Jenna Helwig,29.69,23.99,0544464966,ePUB,208.0,9780544464964
Beyond The Shadows,Brent Weeks,12.99,12.99,0748112561,ePUB,736.0,9780748112562
Charlie,Lesley Pearse,15.99,15.99,0141903732,ePUB,704.0,9780141903736
Golden Buddha,Clive Cussler|Craig Dirgo,14.99,14.99,0141914734,ePUB,544.0,9780141914732
The Traitor Queen,Trudi Canavan,12.99,12.99,074812862X,ePUB,592.0,9780748128624
Mindfulness for Health,Vidyamala Burch|Dr Danny Penman,15.99,15.99,1405522518,ePUB,288.0,9781405522519
How to Talk to Anyone,Leil Lowndes,24.99,21.75,0722538073,Paperback,352.0,9780722538074
Widdershins,Jordan L. Hawk,6.99,6.99,0988564106,ePUB,,9780988564107
Testament of Youth,Vera Brittain,12.99,12.99,0297859145,ePUB,608.0,9780297859147
Grandmothers,Salley Vickers,15.99,15.99,0241985420,ePUB,400.0,9780241985427
The Third Man and the Fallen Idol,Graham Greene,15.99,15.99,1407086766,ePUB,160.0,9781407086767
The Rotten Heart of Europe,Bernard Connolly,13.19,11.99,0571301754,ePUB,480.0,9780571301751
Pulled by the Tail,Nancey Cummings,5.99,5.99,046316380X,ePUB,,9780463163801
Going on the Turn,Danny Baker,12.99,12.99,0297870149,ePUB,288.0,9780297870142
Hyperion,Dan Simmons,4.99,4.99,0575099968,ePUB,480.0,9780575099968
Without Fail,Lee Child,16.99,16.99,1407070649,ePUB,576.0,9781407070643
A Study in Death,Anna Lee Huber,11.72,10.99,0698181506,ePUB,,9780698181502
This Is Not A Drill,Extinction Rebellion,14.99,14.99,0141991453,ePUB,160.0,9780141991450
Arsenic For Tea,Robin Stevens,9.99,9.99,0141369809,ePUB,352.0,9780141369808
Dress Your Family In Corduroy And Denim,David Sedaris,12.99,12.99,0748125949,ePUB,272.0,9780748125944
Nightfall Berlin,Jack Grimwood,15.99,15.99,1405921730,ePUB,400.0,9781405921732
Red Mist,Patricia Cornwell,11.99,11.99,0748118934,ePUB,512.0,9780748118939
Naked in Death,J.D. Robb,11.99,11.99,0748121757,ePUB,320.0,9780748121755
United As One,Pittacus Lore,15.99,15.99,0718184912,ePUB,352.0,9780718184919
On Fire,Naomi Klein,18.99,18.99,0241410746,ePUB,224.0,9780241410745
The Lies of Locke Lamora,Scott Lynch,12.99,12.99,0575086009,ePUB,544.0,9780575086005
A Dirty Shame,Liliana Hart,10.99,10.99,0985228733,ePUB,,9780985228736
The Reluctant Fundamentalist,Mohsin Hamid,15.99,15.99,0141923644,ePUB,224.0,9780141923642
Maigret and Monsieur Charles,Georges Simenon,15.99,15.99,0241304431,ePUB,160.0,9780241304433
Magic Shifts,Ilona Andrews,14.66,11.99,0698136772,ePUB,,9780698136779
The Runaway Jury,John Grisham,15.99,15.99,1407059459,ePUB,496.0,9781407059457
Council of Twelve,Oliver Potzsch,37.85,37.85,1328508315,Paperback,512.0,9781328508317
High Fidelity,Nick Hornby,15.99,15.99,0141925078,ePUB,256.0,9780141925073
The Novice,Trudi Canavan,14.99,14.99,0748116672,ePUB,592.0,9780748116676
Playful Parenting,Lawrence J. Cohen,23.99,19.99,0307489604,ePUB,,9780307489609
The Last Wish,Andrzej Sapkowski,12.99,12.99,0575099917,ePUB,288.0,9780575099913
Anybody Out There,Marian Keyes,15.99,15.99,0141904755,ePUB,608.0,9780141904757
Three Tang Dynasty Poets,Penguin Books Ltd,4.99,4.99,0141398213,ePUB,80.0,9780141398211
The Gathering Storm,Robert Jordan|Brandon Sanderson,12.99,12.99,0748115455,ePUB,672.0,9780748115457
A Big Boy Did It And Ran Away,Christopher Brookmyre,12.99,12.99,0748132007,ePUB,512.0,9780748132003
Burn Fat Fast,Kate Staples,9.99,9.99,1405528737,ePUB,96.0,9781405528733
Blood Rites,Jim Butcher,11.99,11.99,0748116117,ePUB,464.0,9780748116119
The Man From St Petersburg,Ken Follett,21.99,19.75,150986234X,Paperback,464.0,9781509862344
Dune,Frank Herbert,11.99,11.99,0575104414,ePUB,624.0,9780575104419
Remote Control,Andy McNab,15.99,15.99,1407039172,ePUB,512.0,9781407039176
Leaders Eat Last,Simon Sinek,16.99,16.99,0670923184,ePUB,256.0,9780670923182
To Hell and Back,Ian Kershaw,19.99,19.99,024118715X,ePUB,400.0,9780241187159
"Sister, Missing",Sophie McKenzie,10.99,10.99,0857072900,ePUB,1.0,9780857072900
Every Breath,Nicholas Sparks,11.99,11.99,0751567779,ePUB,320.0,9780751567779
The Skeleton Road,Val McDermid,11.99,11.99,1405523131,ePUB,416.0,9781405523134
The Glass Room,Simon Mawer,11.99,11.99,0748115684,ePUB,416.0,9780748115686
Closing the Vocabulary Gap,Alex Quigley,36.29,36.29,1351624539,ePUB,0.0,9781351624534
Death of a Salesman,Arthur Miller,10.99,10.99,0141903953,ePUB,112.0,9780141903958
Forgive Me,Lesley Pearse,15.99,15.99,0718159020,ePUB,512.0,9780718159023
Noughts & Crosses,Malorie Blackman,12.99,12.99,1407047965,ePUB,512.0,9781407047966
Lady Isabella's Ogre,Emily Larkin,7.99,7.99,0995105006,ePUB,,9780995105003
"Walden; Or, Life in the Woods",Henry David Thoreau,1.45,1.45,0486132536,ePUB,224.0,9780486132532
Stone Cold,Robert Swindells,12.99,12.99,0141927585,ePUB,144.0,9780141927589
The Kingmaker's Daughter,Philippa Gregory,13.99,13.99,0857207504,ePUB,464.0,9780857207500
Viking Slave,Griff Hosker,8.15,8.15,1310514763,ePUB,,9781310514760
Journey into Fear,Eric Ambler,15.99,15.99,0141924640,ePUB,224.0,9780141924649
A Winter Flame,Milly Johnson,9.99,9.99,0857208993,ePUB,416.0,9780857208996
Seven Brief Lessons on Physics,Carlo Rovelli,14.99,14.99,0241235979,ePUB,96.0,9780241235973
The Paying Guests,Sarah Waters,12.99,12.99,0349004595,ePUB,576.0,9780349004594
Northern Lights,Nora Roberts,12.99,12.99,0748110194,ePUB,544.0,9780748110193
Paradise Lost,John Milton,1.45,1.45,0486113248,ePUB,480.0,9780486113241
How to be a Victorian,Ruth Goodman,15.99,15.99,0241958342,ePUB,400.0,9780241958346
"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,12.99,12.99,0007287755,ePUB,544.0,9780007287758
Baby-Led Feeding,Jenna Helwig,26.99,26.99,0544963423,ePUB,208.0,9780544963429
Damage Control,Robert Dugoni,17.99,17.99,0759518165,ePUB,300.0,9780759518162
Unlocking Destinies From the Courts of Heaven Leader's Guide,Robert Henderson,28.5,28.5,0768413796,Paperback,192.0,9780768413793
Shadow Spell,Nora Roberts,16.99,16.99,1405517840,ePUB,352.0,9781405517843
Captain Hornblower R.N.,C.S. Forester,15.99,15.99,0141959150,ePUB,576.0,9780141959153
Sleepyhead,Mark Billingham,12.99,12.99,0748109536,ePUB,432.0,9780748109531
Liberation Square,Gareth Rubin,15.99,15.99,1405930624,ePUB,400.0,9781405930628
The Dip,Seth Godin,11.99,11.99,0748129278,ePUB,96.0,9780748129270
The Shack,William P. Young,19.99,19.99,0964729296,ePUB,300.0,9780964729292
Red Carpets And Other Banana Skins,Rupert Everett,12.99,12.99,0748109781,ePUB,416.0,9780748109784
Tenth of December,George Saunders,22.99,20.4,1408894815,Paperback,288.0,9781408894811
The Final Empire,Brandon Sanderson,11.99,11.99,0575097744,ePUB,672.0,9780575097742
It's Not OK to Feel Blue (and other lies),Scarlett Curtis,12.99,12.99,0241410967,ePUB,576.0,9780241410967
Decline and Fall of the Roman Empire,Edward Gibbon,27.42,21.99,0812984838,ePUB,,9780812984835
Mornings on Horseback,David McCullough,12.99,12.99,0743218302,ePUB,448.0,9780743218306
Enemy of God,Bernard Cornwell,15.99,15.99,014192912X,ePUB,496.0,9780141929125
The Burning Maze (The Trials of Apollo Book 3),Rick Riordan,9.99,9.99,0141364025,ePUB,528.0,9780141364025
Gone,Michael Grant,9.99,9.99,0061909645,ePUB,576.0,9780061909641
Cross,James Patterson,12.99,12.99,0755387120,ePUB,321.0,9780755387120
The Other Side of the Dale,Gervase Phinn,14.99,14.99,0141925167,ePUB,288.0,9780141925165
A Week in the Life of Corinth,Ben Witherington Ii,32.96,32.96,0830839623,Paperback,159.0,9780830839629
The Dragon Reborn,Robert Jordan,12.99,12.99,0748115366,ePUB,704.0,9780748115365
The Diary of a Killer Cat,Anne Fine,9.99,9.99,0141971568,ePUB,64.0,9780141971568
Can't Anyone Help Me?,Toni Maguire,14.99,14.99,0141966734,ePUB,288.0,9780141966731
The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,1.99,1.99,0241339731,ePUB,64.0,9780241339732
The Expression of the Emotions in Man and Animal,Charles Darwin,34.99,28.5,0486817318,Paperback,416.0,9780486817316
The Bloody Chamber and Other Stories,Angela Carter,15.99,15.99,140901536X,ePUB,176.0,9781409015369
The Forgotten 500,Gregory A. Freeman,23.99,19.99,1101032340,ePUB,336.0,9781101032343
The Pale Horseman [TV Tie-in Edition],Bernard Cornwell,22.99,20.4,0008139482,Paperback,432.0,9780008139483
Revelation for Everyone,Tom Wright,17.04,13.99,0281064644,ePUB,256.0,9780281064649
Centurion,Simon Scarrow,20.4,20.4,0755348362,Paperback,533.0,9780755348367
Medusa,Michael Dibdin,13.19,11.99,0571246028,ePUB,384.0,9780571246021
Quiet,Susan Cain,14.99,14.99,0141970170,ePUB,352.0,9780141970172
The Son of Neptune (Heroes of Olympus Book 2),Rick Riordan,9.99,9.99,0141967552,ePUB,544.0,9780141967554
Never Tell,Catherine McCall,19.99,19.99,1407031082,ePUB,288.0,9781407031088
And Furthermore,Dame Judi Dench,11.99,11.99,0297859684,ePUB,320.0,9780297859680
The Dream Book,Stephanie Schureman,33.6,33.6,0768419581,Paperback,272.0,9780768419580
All Things New,Brian J. Tabb,56.03,56.03,0830826491,Paperback,280.0,9780830826490
Love is Blind,William Boyd,15.99,15.99,0241979781,ePUB,296.0,9780241979785
Night Probe!,Clive Cussler,4.99,4.99,074811436X,ePUB,384.0,9780748114368
The Giver (Movie Tie-In Edition),Lois Lowry,22.9,22.9,054434068X,Paperback,256.0,9780544340688
Mrs. Lincoln's Dressmaker,Jennifer Chiaverini,22.29,17.99,1101609648,ePUB,352.0,9781101609644
All Systems Red,Martha Wells,6.22,5.99,0765397528,ePUB,,9780765397522
Double Cross,Malorie Blackman,9.99,9.99,1407044877,ePUB,448.0,9781407044873
Convenience Store Woman,Sayaka Murata,22.99,20.35,1846276845,Paperback,176.0,9781846276842
The Count of Monte Cristo,Alexandre Dumas,10.99,10.99,014190125X,ePUB,1312.0,9780141901251
The Falls,Ian Rankin,22.99,20.4,075288364X,Paperback,512.0,9780752883649
Horus Rising,Dan Abnett,13.99,13.99,0857870211,ePUB,,9780857870216
The Sword Saint,C. F. Iggulden,15.99,15.99,0718186834,ePUB,384.0,9780718186838
Tribune of Rome,Robert Fabbri,3.99,3.99,085789482X,ePUB,300.0,9780857894823
The Essential Guide to Getting Your Book Published,Arielle Eckstut|David Henry Sterry,23.99,23.99,0761163980,ePUB,544.0,9780761163985
Night Broken,Patricia Briggs,11.99,11.99,1405513489,ePUB,352.0,9781405513487
Age of Swords,Michael J. Sullivan,14.66,11.99,1101965371,ePUB,,9781101965375
The Uninhabitable Earth,David Wallace-Wells,15.99,15.99,0241355230,ePUB,208.0,9780241355237
The Rape of Nanking,Iris Chang,13.99,13.99,046502825X,ePUB,360.0,9780465028252
"Olive, Again",Elizabeth Strout,15.99,15.99,0241985552,ePUB,272.0,9780241985557
Northern Lights,Nora Roberts,22.99,20.4,0749929693,Paperback,576.0,9780749929695
Redeeming Your Bloodline,Hrvoje Sirovina,32.63,32.63,0768448883,Paperback,224.0,9780768448887
Odessa Sea,Clive Cussler|Dirk Cussler,15.99,15.99,140592764X,ePUB,480.0,9781405927642
Manson,Jeff Guinn,13.99,13.99,0857208950,ePUB,512.0,9780857208958
Nudge,Richard H. Thaler|Cass R Sunstein,16.99,16.99,0141976101,ePUB,320.0,9780141976105
A Crown Of Swords,Robert Jordan,12.99,12.99,0748115404,ePUB,784.0,9780748115402
Dead Beat,Jim Butcher,12.99,12.99,0748116575,ePUB,512.0,9780748116577
Bitten,Kelley Armstrong,11.99,11.99,0748108599,ePUB,464.0,9780748108596
The Heart of the Dales,Gervase Phinn,14.99,14.99,0141902140,ePUB,400.0,9780141902142
Monster Trucks!,Susan E. Goodman,8.79,7.99,0385374674,ePUB,,9780385374675
The Millionaire Fastlane,MJ DeMarco,7.99,7.99,0984358110,ePUB,336.0,9780984358113
The Simple Truth,David Baldacci,17.99,16.75,1529003237,Paperback,704.0,9781529003239
Cut,Cathy Glass,12.99,12.99,0007287151,ePUB,320.0,9780007287154
The Spider Network,David Enrich,18.99,18.99,0753552043,ePUB,496.0,9780753552049
Paddy Clarke Ha Ha Ha,Roddy Doyle,15.99,15.99,1409021300,ePUB,288.0,9781409021308
The Essential Guide to Getting Your Book Published,Arielle Eckstut|David Henry Sterry,32.59,32.59,076116085X,Paperback,544.0,9780761160854
My Kitchen Table,Gizzi Erskine,14.99,14.99,0753548038,ePUB,208.0,9780753548035
The Handsome Man's De Luxe Cafe,Alexander McCall Smith,11.99,11.99,1405520604,ePUB,256.0,9781405520607
Hulk,Greg Pak,36.66,29.99,0785170626,ePUB,,9780785170624
The Great Gatsby,F. Scott Fitzgerald,11.99,11.99,074324639X,ePUB,165.0,9780743246392
Last Argument Of Kings,Joe Abercrombie,12.99,12.99,0575087870,ePUB,544.0,9780575087873
The Jump,Martina Cole,11.99,11.99,0755350731,ePUB,672.0,9780755350735
The 4 Pillar Plan,Dr Rangan Chatterjee,19.99,19.99,0241303567,ePUB,272.0,9780241303566
The Ludwig Conspiracy,Oliver Pötzsch,24.19,19.99,0547740131,ePUB,448.0,9780547740133
The Oracle,Clive Cussler|Robin Burcell,14.99,14.99,1405941081,ePUB,400.0,9781405941082
The Night Manager,John le Carré,15.99,15.99,0141976268,ePUB,480.0,9780141976266
Who,Geoff Smart|Randy Street,17.14,13.99,0345510445,ePUB,,9780345510440
Praetorian (Eagles of the Empire 11),Simon Scarrow,12.99,12.99,0755357213,ePUB,340.0,9780755357215
Then She Vanishes,Claire Douglas,15.99,15.99,1405932589,ePUB,400.0,9781405932585
Back Home,Michelle Magorian,9.99,9.99,0141907045,ePUB,384.0,9780141907048
"Black Leopard, Red Wolf",Marlon James,15.99,15.99,0241981840,ePUB,640.0,9780241981849
The Philosophy Book,DK,36.25,36.25,1465458557,Paperback,352.0,9781465458551
One Hundred Years of Solitude,Gabriel Garcia Marquez,15.99,15.99,0241968593,ePUB,432.0,9780241968598
The Unbound Empire,Melissa Caruso,24.99,21.75,0356510646,Paperback,560.0,9780356510644
"Overlord, Vol. 10 (light novel)",Kugane Maruyama|so-bin,22.0,20.99,0316444995,ePUB,,9780316444996
A History of the Bible,Dr John Barton,18.99,18.99,0141978511,ePUB,640.0,9780141978512
Knife Edge,Malorie Blackman,9.99,9.99,1407048015,ePUB,416.0,9781407048017
Network Effect,Martha Wells,19.5,15.99,1250229847,ePUB,,9781250229847
The Last Stand of the Tin Can Sailors,James D. Hornfischer,17.14,13.99,030748730X,ePUB,,9780307487308
Long Walk To Freedom,Nelson Mandela,12.99,12.99,140553074X,ePUB,784.0,9781405530743
Matched,Ally Condie,9.99,9.99,0141966696,ePUB,384.0,9780141966694
Star Trek,Michael Jan Friedman,18.99,18.99,0743491602,ePUB,352.0,9780743491600
The Intimate Adventures Of A London Call Girl,Belle de Jour,12.99,12.99,0297861026,ePUB,304.0,9780297861027
Gideon the Ninth,Tamsyn Muir,18.47,14.99,1250313171,ePUB,,9781250313171
The Outsider,Albert Camus,15.99,15.99,0141904259,ePUB,128.0,9780141904252
Fer-de-Lance,Rex Stout,8.55,7.99,0307755924,ePUB,,9780307755926
Eat Yourself Healthy,Dr. Megan Rossi,19.99,19.99,0241984548,ePUB,272.0,9780241984543
Looking Good Dead,Peter James,22.99,20.4,1509898832,Paperback,544.0,9781509898831
Sniper One,Dan Mills,14.99,14.99,0141909455,ePUB,384.0,9780141909455
Alias Grace,Margaret Atwood,12.99,12.99,0748113339,ePUB,560.0,9780748113330
INSPIRED,Marty Cagan,34.99,34.99,1119387566,ePUB,368.0,9781119387565
A Memory of Light,Robert Jordan|Brandon Sanderson,11.99,11.99,0748117229,ePUB,768.0,9780748117222
Ghost Story,Jim Butcher,12.99,12.99,0748116605,ePUB,416.0,9780748116607
Red Seas Under Red Skies : Gentleman Bastard,Scott Lynch,12.99,12.99,0575085908,ePUB,640.0,9780575085909
Memoirs of a Geisha,Arthur Golden,15.99,15.99,140701966X,ePUB,512.0,9781407019666
The House of Hades (Heroes of Olympus Book 4),Rick Riordan,9.99,9.99,0141339217,ePUB,560.0,9780141339214
Tom Clancy's True Faith and Allegiance,Mark Greaney,15.99,15.99,140592229X,ePUB,496.0,9781405922296
The Baking Bible,Rose Levy Beranbaum,42.99,42.99,0544188365,ePUB,0.0,9780544188365
Cult Sci-Fi Movies,Danny Peary,5.99,5.99,0761184279,ePUB,104.0,9780761184270
Equal Rites,Terry Pratchett,15.99,15.99,1407034472,ePUB,288.0,9781407034478
Outliers,Malcolm Gladwell,15.99,15.99,014190349X,ePUB,320.0,9780141903491
What Every BODY is Saying,Joe Navarro|Marvin Karlins,11.99,11.99,0061755664,ePUB,272.0,9780061755668
Shopaholic to the Rescue,Sophie Kinsella,15.99,15.99,0593074645,ePUB,384.0,9780593074640
A Legacy of Spies,John le Carré,15.99,15.99,0241981239,ePUB,320.0,9780241981238
Two Can Keep a Secret,Karen M. McManus,12.99,12.99,0141375663,ePUB,336.0,9780141375663
Super Pumped,Mike Isaac,27.8,22.99,0393652254,ePUB,,9780393652253
Rumour Has It,Jill Mansell,12.99,12.99,0755353382,ePUB,300.0,9780755353385
The Hare With Amber Eyes: A Hidden Inheritance,Edmund De Waal,18.99,18.99,1407052470,ePUB,368.0,9781407052472
Percy Jackson and the Titan's Curse,Rick Riordan,12.99,12.99,0141919132,ePUB,304.0,9780141919133
The Enemy,Charlie Higson,9.99,9.99,0141931841,ePUB,432.0,9780141931845
The Holy Roman Empire,Peter H. Wilson,18.99,18.99,0141956917,ePUB,600.0,9780141956916
One with You,Sylvia Day,15.99,15.99,140591646X,ePUB,368.0,9781405916462
The Librarian,Salley Vickers,15.99,15.99,0241330254,ePUB,400.0,9780241330258
No One Home,Tim Weaver,15.99,15.99,1405939508,ePUB,400.0,9781405939508
Quick Cooking for Diabetes,Louise Blair|Norma McGough,10.99,10.99,0600630404,ePUB,128.0,9780600630401
Atlas Shrugged,Ayn Rand,13.7,11.99,1101137193,ePUB,1192.0,9781101137192
Reached,Ally Condie,9.99,9.99,0141344342,ePUB,528.0,9780141344348
Centurion (Eagles of the Empire 8),Simon Scarrow,12.99,12.99,0755350898,ePUB,544.0,9780755350896
Underworld London,Catharine Arnold,13.99,13.99,0857201174,ePUB,352.0,9780857201171
We,Yevgeny Zamyatin,23.99,19.99,0307432866,ePUB,,9780307432865
The Dalai Lama's Cat,David Michie,1.99,1.99,1401940595,ePUB,217.0,9781401940591
The Eagle's Prophecy (Eagles of the Empire 6),Simon Scarrow,12.99,12.99,0755350871,ePUB,448.0,9780755350872
Life 3.0,Max Tegmark,15.99,15.99,0141981792,ePUB,400.0,9780141981796
The Godfather,Mario Puzo,15.99,15.99,1448106893,ePUB,608.0,9781448106899
Around My French Table,Dorie Greenspan,7.99,7.99,0547504810,ePUB,,9780547504810
The Year of Less,Cait Flanders,2.99,2.99,1401953522,ePUB,,9781401953522
Mercy,Jussi Adler-Olsen,15.99,15.99,0141962518,ePUB,512.0,9780141962511
The Difference a Day Makes,Carole Matthews,12.99,12.99,1405523700,ePUB,464.0,9781405523707
Bermondsey Boy,Tommy Steele,14.99,14.99,0141903015,ePUB,320.0,9780141903019
The God Chasers Expanded Ed.,Tommy Tenney,19.06,15.99,0768499542,ePUB,0.0,9780768499544
The Westing Game (Puffin Modern Classics),Ellen Raskin,13.19,10.99,1101157453,ePUB,192.0,9781101157459
Our Street,Gilda O'Neill,15.99,15.99,014194661X,ePUB,320.0,9780141946610
The First Rumpole Omnibus,John Mortimer,16.99,16.99,014192800X,ePUB,560.0,9780141928005
Hamlyn All Colour Cookery: 200 Super Soups,Sara Lewis,6.99,6.99,0600623009,ePUB,240.0,9780600623007
Legend,Marie Lu,4.99,4.99,014133942X,ePUB,368.0,9780141339429
Gone Girl,Gillian Flynn,11.99,11.99,0297859404,ePUB,320.0,9780297859406
The Blade Itself,Joe Abercrombie,12.99,12.99,0575091509,ePUB,544.0,9780575091504
The Fate of Ten,Pittacus Lore,15.99,15.99,1405913657,ePUB,384.0,9781405913652
Sheer Mischief,Jill Mansell,12.99,12.99,0755351851,ePUB,512.0,9780755351855
The Heart is a Lonely Hunter,Carson McCullers,15.99,15.99,0718196082,ePUB,352.0,9780718196080
The Great Gatsby,F. Scott Fitzgerald,11.99,11.99,074324639X,ePUB,165.0,9780743246392
Snow Crash,Neal Stephenson,15.99,15.99,0141924047,ePUB,448.0,9780141924045
Where Do Diggers Sleep at Night?,Brianna Caplan Sayres,11.99,10.99,0375980989,ePUB,,9780375980985
The Constant Gardener,John le Carré,15.99,15.99,0241322340,ePUB,592.0,9780241322345
Mercy Blade,Faith Hunter,13.19,10.99,110147677X,ePUB,,9781101476772
Pranklopedia,Julie Winterbottom,19.99,19.99,0761176853,ePUB,250.0,9780761176855
MaddAddam,Margaret Atwood,11.99,11.99,0748130195,ePUB,496.0,9780748130191
Blue Gold,Clive Cussler,12.99,12.99,0743423089,ePUB,400.0,9780743423083
The Undoing Project,Michael Lewis,15.99,15.99,0141983035,ePUB,320.0,9780141983035
Games People Play,Eric Berne,14.99,14.99,0141938366,ePUB,176.0,9780141938363
Ghosts of Spain: Travels Through a Country's Hidden Past,Giles Tremlett,16.49,14.99,0571247903,ePUB,496.0,9780571247905
I Am Zlatan Ibrahimovic,Zlatan Ibrahimovic,14.99,14.99,0241966841,ePUB,352.0,9780241966846
The F-Factor Diet,Tanya Zuckerbrot,13.7,11.99,110120334X,ePUB,288.0,9781101203347
Sea Lord,Bernard Cornwell,15.99,15.99,0141928921,ePUB,320.0,9780141928920
Bye Baby,Daniel Donnelly,4.99,4.99,0648257711,ePUB,312.0,9780648257714
Cause Of Death,Patricia Cornwell,11.99,11.99,0748109323,ePUB,384.0,9780748109326
The Secret Commonwealth: The Book of Dust Volume Two,Philip Pullman,14.99,14.99,0241373360,ePUB,784.0,9780241373361
Fair Stood the Wind for France,H. E. Bates,15.99,15.99,0141904984,ePUB,256.0,9780141904986
Knife Of Dreams,Robert Jordan,12.99,12.99,0748115447,ePUB,832.0,9780748115440
The Taking of Annie Thorne,C. J. Tudor,15.99,15.99,1405930985,ePUB,352.0,9781405930987
Tom Clancy's Power and Empire,Marc Cameron,15.99,15.99,1405935057,ePUB,432.0,9781405935050
Revenge,Martina Cole,11.99,11.99,0755375645,ePUB,512.0,9780755375646
The Executioner,Chris Carter,4.99,4.99,0857200135,ePUB,480.0,9780857200136
The Chestnut Man,Søren Sveistrup,15.99,15.99,140593977X,ePUB,400.0,9781405939775
Roller-Coaster,Ian Kershaw,18.99,18.99,0241187176,ePUB,704.0,9780241187173
Don't Blink,James Patterson,15.99,15.99,1407058118,ePUB,496.0,9781407058115
Hot Milk,Deborah Levy,15.99,15.99,024196802X,ePUB,208.0,9780241968024
Wailing Ghosts,Pu Songling,1.99,1.99,0141398175,ePUB,80.0,9780141398174
Twilight,Stephenie Meyer,11.99,11.99,0748112510,ePUB,464.0,9780748112517
"Thinking, Fast and Slow",Daniel Kahneman,18.99,18.99,0141918926,ePUB,512.0,9780141918921
Fallen,Benedict Jacka,11.99,11.99,0356511111,ePUB,384.0,9780356511115
The Law of Attraction,Esther Hicks|Jerry Hicks,18.34,14.99,140191926X,ePUB,194.0,9781401919269
Keep Your Brain Alive,Lawrence Katz|Manning Rubin,20.25,20.25,0761168931,Paperback,204.0,9780761168935
Matilda,Roald Dahl,9.99,9.99,0141929456,ePUB,256.0,9780141929453
The Glass Room,Simon Mawer,22.99,20.4,034912132X,Paperback,416.0,9780349121321
The Cabin,Jørn Lier Horst,15.99,15.99,1405941626,ePUB,400.0,9781405941624
An Indigenous Peoples' History of the United States,Roxanne Dunbar-Ortiz,26.34,21.99,0807000418,ePUB,,9780807000410
Down a Dark Road,Linda Castillo,14.95,11.99,1250121302,ePUB,,9781250121301
The Saddest Girl in the World,Cathy Glass,12.99,12.99,0007321570,ePUB,320.0,9780007321575
Churchill,Andrew Roberts,18.99,18.99,0241205646,ePUB,1152.0,9780241205648
Don't Touch My Hair,Emma Dabiri,15.99,15.99,0141986298,ePUB,240.0,9780141986296
The Book of Souls,James Oswald,15.99,15.99,1405913177,ePUB,400.0,9781405913171
The Bell Jar,Sylvia Plath,16.49,14.99,0571248209,ePUB,240.0,9780571248209
Matter,Iain M. Banks,22.99,20.35,1841494194,Paperback,656.0,9781841494197
The Silver Palate Cookbook,Sheila Lukins|Julee Rosso,29.99,29.99,0761179585,ePUB,464.0,9780761179580
The Girl With All The Gifts,M. R. Carey,11.99,11.99,0748123792,ePUB,416.0,9780748123797
Lazybones,Mark Billingham,26.4,26.4,0751548766,Paperback,496.0,9780751548761
Why Does He Do That?,Lundy Bancroft,17.14,13.99,1101220732,ePUB,432.0,9781101220733
The Establishment,Owen Jones,15.99,15.99,0141975008,ePUB,288.0,9780141975009
Thud!,Terry Pratchett,15.99,15.99,1407035436,ePUB,464.0,9781407035437
The Mystery of Mercy Close,Marian Keyes,15.99,15.99,0718198271,ePUB,528.0,9780718198275
Cinder,Marissa Meyer,12.99,12.99,0141971746,ePUB,400.0,9780141971742
The Lost World,Sir Arthur Conan Doyle,1.45,1.45,0486113736,ePUB,176.0,9780486113739
Oh! to be in England,H. E. Bates,15.99,15.99,014193865X,ePUB,128.0,9780141938653
Cursor's Fury,Jim Butcher,11.99,11.99,0748111883,ePUB,512.0,9780748111886
Maigret and the Old People,Georges Simenon,15.99,15.99,0241303907,ePUB,160.0,9780241303900
Stuff Matters,Mark Miodownik,15.99,15.99,014197074X,ePUB,352.0,9780141970745
